key,value
seed,42
n_communities,5
tf_per_comm_low,15
tf_per_comm_high,20
layer_props,"[0.2, 0.5, 0.3]"
within_mu_level,mid
in_degree_cap,4
out_nb_r,1.0
out_nb_p,0.5
motif_fraction,0.15
inter_density,five_per_pair
inter_topdown_bias,0.8
n_targets,1000
target_home_bias,0.8
max_tf_per_target,10
target_fanin_lambda,3.5
max_regulator_communities,3
n_bins,1
hill_value,2.0
K_abs_low,2.0
K_abs_high,5.0
p_repression,0.3
mr_prod_low,2.0
mr_prod_high,5.0
ensure_acyclic,True
tf_counts_per_community,"[20, 15, 15, 20, 17]"
n_tfs_total,87
n_targets_total,1000
n_edges_tf_tf,267
n_edges_tf_tg,3451
n_master_regulators,13
communities,"[0, 1, 2, 3, 4]"
