gamma,eigengene_mode,ae_standardize,train_loss_final,val_loss_final,mcc_real_mean,mcc_perm_mean,t_stat,p_value
0p9,global,none,0.2744,0.273,0.3055,0.2567,6.4546,0.0
0p9,global,zscore,0.9745,0.9728,0.3304,0.2802,7.0103,0.0
0p9,global,zscore_ref,0.9833,0.9788,0.2989,0.3328,-3.8605,0.999835
0p9,all_cells,none,0.2744,0.273,0.4739,0.3498,9.2534,0.0
0p9,all_cells,zscore,0.9745,0.9728,0.3219,0.2923,2.9129,0.002668
0p9,all_cells,zscore_ref,0.9833,0.9788,0.261,0.2281,3.9326,0.000132
1p7,global,none,0.2718,0.2704,0.4096,0.3218,16.7925,0.0
1p7,global,zscore,0.9468,0.9499,0.3415,0.3439,-0.6649,0.745405
1p7,global,zscore_ref,0.9666,0.9667,0.3923,0.4014,-1.6282,0.940838
1p7,all_cells,none,0.2718,0.2704,0.5012,0.438,10.3256,0.0
1p7,all_cells,zscore,0.9468,0.9499,0.2879,0.333,-10.8425,1.0
1p7,all_cells,zscore_ref,0.9666,0.9667,0.3661,0.3458,2.8593,0.024262
