"gamma","eigengene_mode","ae_standardize","train_loss_final","val_loss_final","mcc_real_mean","mcc_perm_mean","t_stat","p_value","emode_std","diff","setting"
"0p9","global","none",0.0882,0.0886,0.3379,0.2661,7.5587,0,"global-none",0.0718,"Norman2019"
"0p9","global","zscore",0.9478,0.9916,0.437,0.3867,7.2432,0,"global-zscore",0.0503,"Norman2019"
"0p9","global","zscore_ref",1.7632,1.8753,0.4339,0.3612,9.1426,0,"global-zscore_ref",0.0727,"Norman2019"
"0p9","all_cells","none",0.0882,0.0886,0.4363,0.3733,7.6825,0,"all_cells-none",0.063,"Norman2019"
"0p9","all_cells","zscore",0.9478,0.9916,0.574,0.455,16.7743,0,"all_cells-zscore",0.119,"Norman2019"
"0p9","all_cells","zscore_ref",1.7632,1.8753,0.4229,0.3854,5.8149,0,"all_cells-zscore_ref",0.0375,"Norman2019"
"1p0","global","none",0.0882,0.0886,0.3319,0.2679,7.6863,0,"global-none",0.0639999999999999,"Norman2019"
"1p0","global","zscore",0.9478,0.9916,0.4483,0.3932,7.6736,0,"global-zscore",0.0551,"Norman2019"
"1p0","global","zscore_ref",1.7632,1.8753,0.4567,0.3725,11.0223,0,"global-zscore_ref",0.0842,"Norman2019"
"1p0","all_cells","none",0.0882,0.0886,0.3908,0.3872,0.4754,0.318289,"all_cells-none",0.00359999999999999,"Norman2019"
"1p0","all_cells","zscore",0.9478,0.9916,0.5001,0.4617,5.5449,1e-06,"all_cells-zscore",0.0384,"Norman2019"
"1p0","all_cells","zscore_ref",1.7632,1.8753,0.4142,0.3938,3.0756,0.001712,"all_cells-zscore_ref",0.0204,"Norman2019"
"1p4","global","none",0.0874,0.0879,0.4258,0.3456,12.0982,0,"global-none",0.0802,"Norman2019"
"1p4","global","zscore",0.938,0.9845,0.4473,0.4418,1.1473,0.128739,"global-zscore",0.00549999999999995,"Norman2019"
"1p4","global","zscore_ref",1.737,1.8666,0.452,0.4103,8.0763,0,"global-zscore_ref",0.0417,"Norman2019"
"1p4","all_cells","none",0.0874,0.0879,0.4367,0.4304,1.5179,0.067656,"all_cells-none",0.00629999999999997,"Norman2019"
"1p4","all_cells","zscore",0.938,0.9845,0.5021,0.4875,3.1459,0.001794,"all_cells-zscore",0.0146,"Norman2019"
"1p4","all_cells","zscore_ref",1.737,1.8666,0.4251,0.4384,-2.5842,0.992688,"all_cells-zscore_ref",-0.0133,"Norman2019"
"2p5","global","none",0.0874,0.0879,0.4304,0.3061,22.4887,0,"global-none",0.1243,"Norman2019"
"2p5","global","zscore",0.9336,0.981,0.4638,0.4414,6.2015,0,"global-zscore",0.0224,"Norman2019"
"2p5","global","zscore_ref",1.7216,1.8688,0.4656,0.4302,7.8651,0,"global-zscore_ref",0.0354,"Norman2019"
"2p5","all_cells","none",0.0874,0.0879,0.4302,0.377,9.1547,0,"all_cells-none",0.0532,"Norman2019"
"2p5","all_cells","zscore",0.9336,0.981,0.4956,0.469,6.1999,0,"all_cells-zscore",0.0266,"Norman2019"
"2p5","all_cells","zscore_ref",1.7216,1.8688,0.4667,0.4415,5.6155,0,"all_cells-zscore_ref",0.0252,"Norman2019"
"0p8","global","none",0.3397,0.3392,0.1847,0.2685,-9.7782,1,"global-none",-0.0838,"Joung2023"
"0p8","global","zscore",0.9737,0.9804,0.2311,0.3021,-10.4155,1,"global-zscore",-0.071,"Joung2023"
"0p8","global","zscore_ref",1.0034,1.0039,0.2453,0.2859,-4.007,0.999896,"global-zscore_ref",-0.0406,"Joung2023"
"0p8","all_cells","none",0.3397,0.3392,0.375,0.4,-1.837,0.963871,"all_cells-none",-0.025,"Joung2023"
"0p8","all_cells","zscore",0.9737,0.9804,0.3676,0.342,1.9199,0.03035,"all_cells-zscore",0.0256,"Joung2023"
"0p8","all_cells","zscore_ref",1.0034,1.0039,0.2476,0.1665,10.2243,0,"all_cells-zscore_ref",0.0811,"Joung2023"
"1p4","global","none",0.3353,0.3349,0.3443,0.3121,5.6368,0,"global-none",0.0322,"Joung2023"
"1p4","global","zscore",0.9385,0.9466,0.3503,0.3437,2.2084,0.015872,"global-zscore",0.00659999999999999,"Joung2023"
"1p4","global","zscore_ref",0.9748,0.9791,0.3652,0.4275,-14.8854,1,"global-zscore_ref",-0.0623,"Joung2023"
"1p4","all_cells","none",0.3353,0.3349,0.5701,0.4824,14.167,0,"all_cells-none",0.0877000000000001,"Joung2023"
"1p4","all_cells","zscore",0.9385,0.9466,0.3303,0.3368,-1.64,0.946248,"all_cells-zscore",-0.00650000000000001,"Joung2023"
"1p4","all_cells","zscore_ref",0.9748,0.9791,0.3608,0.3278,8.0653,0,"all_cells-zscore_ref",0.033,"Joung2023"
"0p9","global","none",0.2744,0.273,0.3055,0.2567,6.4546,0,"global-none",0.0488,"Joung2023_add_controls"
"0p9","global","zscore",0.9745,0.9728,0.3304,0.2802,7.0103,0,"global-zscore",0.0502,"Joung2023_add_controls"
"0p9","global","zscore_ref",0.9833,0.9788,0.2989,0.3328,-3.8605,0.999835,"global-zscore_ref",-0.0339,"Joung2023_add_controls"
"0p9","all_cells","none",0.2744,0.273,0.4739,0.3498,9.2534,0,"all_cells-none",0.1241,"Joung2023_add_controls"
"0p9","all_cells","zscore",0.9745,0.9728,0.3219,0.2923,2.9129,0.002668,"all_cells-zscore",0.0296,"Joung2023_add_controls"
"0p9","all_cells","zscore_ref",0.9833,0.9788,0.261,0.2281,3.9326,0.000132,"all_cells-zscore_ref",0.0329,"Joung2023_add_controls"
"1p7","global","none",0.2718,0.2704,0.4096,0.3218,16.7925,0,"global-none",0.0878,"Joung2023_add_controls"
"1p7","global","zscore",0.9468,0.9499,0.3415,0.3439,-0.6649,0.745405,"global-zscore",-0.00239999999999996,"Joung2023_add_controls"
"1p7","global","zscore_ref",0.9666,0.9667,0.3923,0.4014,-1.6282,0.940838,"global-zscore_ref",-0.0091,"Joung2023_add_controls"
"1p7","all_cells","none",0.2718,0.2704,0.5012,0.438,10.3256,0,"all_cells-none",0.0632,"Joung2023_add_controls"
"1p7","all_cells","zscore",0.9468,0.9499,0.2879,0.333,-10.8425,1,"all_cells-zscore",-0.0451,"Joung2023_add_controls"
"1p7","all_cells","zscore_ref",0.9666,0.9667,0.3661,0.3458,2.8593,0.024262,"all_cells-zscore_ref",0.0203,"Joung2023_add_controls"
"1p0","global","none",0.2597,0.261,0.2584,0.2487,1.8875,0.032467,"global-none",0.00970000000000001,"Joung2023_random_subsample"
"1p0","global","zscore",0.9714,0.9877,0.2647,0.2816,-2.9665,0.997705,"global-zscore",-0.0169,"Joung2023_random_subsample"
"1p0","global","zscore_ref",0.9884,1.0003,0.3894,0.3282,8.8677,0,"global-zscore_ref",0.0612,"Joung2023_random_subsample"
"1p0","all_cells","none",0.2597,0.261,0.3822,0.3563,2.176,0.017159,"all_cells-none",0.0259,"Joung2023_random_subsample"
"1p0","all_cells","zscore",0.9714,0.9877,0.3952,0.3067,9.2124,0,"all_cells-zscore",0.0885,"Joung2023_random_subsample"
"1p0","all_cells","zscore_ref",0.9884,1.0003,0.1721,0.1601,2.3738,0.010753,"all_cells-zscore_ref",0.012,"Joung2023_random_subsample"
"1p6","global","none",0.2576,0.2589,0.3182,0.2926,6.2697,0,"global-none",0.0256,"Joung2023_random_subsample"
"1p6","global","zscore",0.9579,0.9732,0.3053,0.2859,5.4711,1e-06,"global-zscore",0.0194,"Joung2023_random_subsample"
"1p6","global","zscore_ref",0.9699,0.9822,0.4161,0.3879,6.331,0,"global-zscore_ref",0.0282,"Joung2023_random_subsample"
"1p6","all_cells","none",0.2576,0.2589,0.5542,0.4276,17.7386,0,"all_cells-none",0.1266,"Joung2023_random_subsample"
"1p6","all_cells","zscore",0.9579,0.9732,0.3751,0.301,20.0164,0,"all_cells-zscore",0.0741,"Joung2023_random_subsample"
"1p6","all_cells","zscore_ref",0.9699,0.9822,0.3417,0.2942,11.961,0,"all_cells-zscore_ref",0.0475,"Joung2023_random_subsample"
